word,onsets,offsets
the,0.3653,0.4803
sixth,0.4803,0.9603
planet,0.9603,1.4203
was,1.4203,1.6003
ten,1.6003,1.9303
times,1.9303,2.3103
larger,2.3103,2.7703
than,2.7703,2.9303
the,2.9303,3.0203
last,3.0203,3.4997
.,3.0203,3.4997
it,3.8488,4.2238
was,4.2238,4.3638
inhabited,4.3638,4.9438
by,4.9438,5.1038
an,5.1038,5.2938
old,5.2938,5.5938
gentleman,5.5938,6.1938
who,6.1938,6.4538
wrote,6.4538,6.7338
enormous,6.7338,7.4638
books,7.4638,7.9226
.,7.4638,7.9226
“,9.025,9.62
oh,9.025,9.62
",",9.025,9.62
look,9.62,9.97
!,9.62,9.97
here,9.97,10.3
comes,10.3,10.64
an,10.64,10.72
explorer,10.72,11.4089
!,10.72,11.4089
”,11.6633,11.7583
he,11.6633,11.7583
cried,11.7583,12.1783
out,12.1783,12.4283
when,12.4283,12.5483
he,12.5483,12.6683
caught,12.6683,12.9683
sight,12.9683,13.2783
of,13.2783,13.3483
the,13.3483,13.4583
little,13.4583,13.6683
prince,13.6683,14.1624
.,13.6683,14.1624
the,15.1999,15.2849
little,15.2849,15.6049
prince,15.6049,15.9749
sat,15.9749,16.2749
down,16.2749,16.5149
on,16.5149,16.6449
the,16.6449,16.7249
table,16.7249,17.1649
and,17.1649,17.3549
panted,17.3549,17.8049
a,17.8049,17.8449
little,17.8449,18.1941
.,17.8449,18.1941
he,18.668,18.733
had,18.733,18.923
already,18.923,19.343
travelled,19.343,19.773
so,19.773,20.093
far,20.093,20.5327
!,20.093,20.5327
“,21.2111,21.3561
where,21.2111,21.3561
do,21.3561,21.4361
you,21.4361,21.5161
come,21.5161,21.7961
from,21.7961,22.0958
?,21.7961,22.0958
”,22.4001,22.5451
the,22.4001,22.5451
old,22.5451,22.7251
gentleman,22.7251,23.2251
said,23.2251,23.4851
to,23.4851,23.6051
him,23.6051,23.8547
.,23.6051,23.8547
“,24.6329,24.8079
what,24.6329,24.8079
’,24.6329,24.8079
s,24.8079,24.8679
that,24.8679,25.0579
big,25.0579,25.3079
book,25.3079,25.7221
?,25.3079,25.7221
”,25.9316,26.1166
said,25.9316,26.1166
the,26.1166,26.2466
