word,onsets,offsets
the,0.4311,0.5061
fourth,0.5061,0.8761
planet,0.8761,1.2661
belonged,1.2661,1.6461
to,1.6461,1.7561
a,1.7561,1.7861
businessman,1.7861,2.4806
.,1.7861,2.4806
this,3.0342,3.5292
man,3.5292,3.7592
was,3.7592,3.9092
so,3.9092,4.2392
busy,4.2392,4.7092
that,4.7092,4.8492
he,4.8492,4.9292
didn,4.9292,5.2092
’,4.9292,5.2092
t,5.2092,5.2692
even,5.2692,5.5092
raise,5.5092,5.8992
his,5.8992,6.1792
head,6.1792,6.5792
when,6.5792,6.7692
the,6.7692,6.8992
little,6.8992,7.1392
prince,7.1392,7.5492
arrived,7.5492,8.0781
.,7.5492,8.0781
“,8.8362,8.9612
good,8.8362,8.9612
morning,8.9612,9.4462
",",8.9612,9.4462
”,9.7954,9.8604
the,9.7954,9.8604
little,9.8604,10.0704
prince,10.0704,10.4404
said,10.4404,10.6604
to,10.6604,10.7804
him,10.7804,11.0301
.,10.7804,11.0301
“,11.7833,11.9083
your,11.7833,11.9083
cigarette,11.9083,12.3683
has,12.3683,12.5483
gone,12.5483,12.7183
out,12.7183,13.0779
.,12.7183,13.0779
”,13.4743,13.8416
“,14.2303,14.6053
three,14.2303,14.6053
and,14.6053,14.8753
two,14.8753,15.1753
make,15.1753,15.5453
five,15.5453,16.2453
.,15.5453,16.2453
five,16.5253,16.7853
and,16.7853,16.9053
seven,16.9053,17.1353
make,17.1353,17.3253
twelve,17.3253,17.9641
.,17.3253,17.9641
twelve,18.3582,18.6932
and,18.6932,18.8732
three,18.8732,19.1032
make,19.1032,19.4132
fifteen,19.4132,20.0128
.,19.4132,20.0128
good,20.5715,20.6665
morning,20.6665,20.9664
.,20.6665,20.9664
fifteen,21.4104,21.9754
and,21.9754,22.2054
seven,22.2054,22.5854
make,22.5854,22.8354
twenty,22.8354,23.1354
-,22.8354,23.1354
two,23.1354,23.4854
.,23.1354,23.4854
twenty,23.7754,24.0554
-,23.7754,24.0554
two,24.0554,24.1754
and,24.1754,24.2954
six,24.2954,24.5354
make,24.5354,24.7254
twenty,24.7254,25.1754
-,24.7254,25.1754
eight,25.1754,25.4644
.,25.1754,25.4644
no,25.9483,26.0633
time,26.0633,26.2633
to,26.2633,26.3533
light,26.3533,26.5433
it,26.5433,26.6033
again,26.6033,26.9183
.,26.6033,26.9183
twenty,27.2724,27.5574
-,27.2724,27.5574
six,27.5574,27.9674
and,27.9674,28.1274
five,28.1274,28.5474
make,28.5474,28.8574
thirty,28.8574,29.1874
-,28.8574,29.1874
one,29.1874,29.4574
.,29.1874,29.4574
phew,29.6174,30.2671
!,29.6174,30.2671
then,31.0603,31.2853
that,31.2853,31.5553
makes,31.5553,32.2253
five,32.2253,32.7053
-,32.2253,32.7053
hundred,32.7053,33.2153
-,32.7053,33.2153
and,33.2153,33.3053
-,33.2153,33.3053
one,33.3053,33.5853
million,33.5853,34.2353
",",33.5853,34.2353
six,34.2353,34.8553
-,34.2353,34.8553
hundred,34.8553,35.2653
-,34.8553,35.2653
twenty,35.2653,35.6153
-,35.2653,35.6153
two,35.6153,35.7653
-,35.6153,35.7653
thousand,35.7653,36.4753
",",35.7653,36.4753
seven,36.4753,36.8753
-,36.4753,36.8753
hundred,36.8753,37.2253
-,36.8753,37.2253
thirty,37.2253,37.5253
-,37.2253,37.5253
one,37.5253,37.8091
.,37.5253,37.8091
”,38.3531,38.6075
“,39.1809,39.4059
five,39.1809,39.4059
hundred,39.4059,39.7059
million,39.7059,40.0559
what,40.0559,40.3906
?,40.0559,40.3906
”,40.59365,40.860925
“,41.1314,41.33125
huh,41.66915,41.801575
?,42.2069,42.2719
are,42.2069,42.2719
you,42.2719,42.3819
still,42.3819,42.6219
there,42.6219,42.9219
?,42.6219,42.9219
five,43.7649,43.9999
-,43.7649,43.9999
hundred,43.9999,44.2699
-,43.9999,44.2699
and,44.2699,44.4099
-,44.2699,44.4099
one,44.4099,44.5999
million,44.5999,45.0299
...,44.5999,45.0299
i,45.0599,45.0899
’,45.0599,45.0899
ve,45.0899,45.2599
forgotten,45.2599,46.0899
now,46.0899,46.3744
...,46.0899,46.3744
i,46.7235,46.7585
have,46.7585,46.8485
so,46.8485,47.0385
much,47.0385,47.2585
work,47.2585,47.5933
!,47.2585,47.5933
i,48.0622,48.1172
am,48.1172,48.1872
a,48.1872,48.2272
man,48.2272,48.4272
of,48.4272,48.4972
consequence,48.4972,49.1819
.,48.4972,49.1819
i,49.4213,49.4763
don,49.4763,49.6663
’,49.4763,49.6663
t,49.6663,49.7063
amuse,49.7063,49.9863
myself,49.9863,50.3663
with,50.3663,50.5363
balderdash,50.5363,51.1759
!,50.5363,51.1759
two,52.0289,52.1139
and,52.1139,52.2539
five,52.2539,52.5039
make,52.5039,52.7839
seven,52.7839,53.6786
.,52.7839,53.6786
“,53.898,54.133
five,53.898,54.133
-,53.898,54.133
hundred,54.133,54.393
-,54.133,54.393
and,54.393,54.533
-,54.393,54.533
one,54.533,54.703
million,54.703,55.133
what,55.133,55.4278
?,55.133,55.4278
”,55.7221,56.1271
repeated,55.7221,56.1271
the,56.1271,56.2271
little,56.2271,56.4471
prince,56.4471,57.1971
",",56.4471,57.1971
who,57.1971,57.3371
had,57.3371,57.5771
never,57.5771,57.9171
in,57.9171,57.9871
his,57.9871,58.1771
life,58.1771,58.5871
let,58.5871,58.7871
go,58.7871,58.9871
of,58.9871,59.0871
a,59.0871,59.1371
question,59.1371,59.7071
",",59.1371,59.7071
once,59.7071,59.9071
he,59.9071,60.0271
had,60.0271,60.1171
asked,60.1171,60.3671
it,60.3671,60.5597
.,60.3671,60.5597
the,61.273,61.348
businessman,61.348,61.898
raised,61.898,62.188
his,62.188,62.368
head,62.368,62.6377
.,62.368,62.6377
“,63.7002,63.9252
during,63.7002,63.9252
the,63.9252,63.9852
fifty,63.9852,64.2852
-,63.9852,64.2852
four,64.2852,64.5252
years,64.5252,64.7952
that,64.7952,64.9752
i,64.9752,65.0252
’,64.9752,65.0252
ve,65.0252,65.1252
lived,65.1252,65.3252
on,65.3252,65.4352
this,65.4352,65.6052
planet,65.6052,66.1052
",",65.6052,66.1052
i,66.1052,66.1852
’,66.1052,66.1852
ve,66.1852,66.2452
only,66.2452,66.7652
been,66.7652,66.9952
disturbed,66.9952,67.5052
three,67.5052,67.7452
times,67.7452,68.2392
.,67.7452,68.2392
the,68.8927,69.0577
first,69.0577,69.2277
time,69.2277,69.4377
was,69.4377,69.6077
twenty,69.6077,69.8677
-,69.6077,69.8677
two,69.8677,70.0077
years,70.0077,70.3077
ago,70.3077,70.5777
",",70.3077,70.5777
by,70.5777,70.7677
some,70.7677,71.1177
scatterbrain,71.1177,72.0677
who,72.0677,72.1877
fell,72.1877,72.4777
from,72.4777,72.7077
god,72.7077,72.9777
knows,72.9777,73.3077
where,73.3077,73.5667
.,73.3077,73.5667
he,74.0356,74.1006
made,74.1006,74.2806
the,74.2806,74.3906
most,74.3906,74.5906
dreadful,74.5906,75.0006
noise,75.0006,75.4855
",",75.0006,75.4855
and,75.8795,76.0045
i,76.0045,76.1245
made,76.1245,76.3645
four,76.3645,76.6445
mistakes,76.6445,77.2145
in,77.2145,77.2845
a,77.2845,77.3345
sum,77.3345,77.6743
.,77.3345,77.6743
the,78.3826,78.4476
second,78.4476,78.6976
time,78.6976,78.8976
was,78.8976,79.0276
eleven,79.0276,79.3376
